Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0.175,0.763462,0.146,0.575261,-0.254725,-74.318718,151.107071,-48.581322,-0.732505,-0.093622,-0.165632,0.653634,-74.316719,117.844078,-43.27438,-0.763227,-0.184911,-0.140351,0.602988,-72.401001,95.554512,-38.254677,0.95611,0.184277,0.101143,-0.204124,-12.06228,155.079636,76.293549,0.475683,-0.321738,0.197248,0.794546,-16.574472,124.104439,90.471062,0.585882,-0.277745,0.091836,0.755755,-23.620968,99.403816,93.276772
0.183,0.763385,0.145127,0.574766,-0.256565,-74.405289,151.089951,-48.499954,-0.731347,-0.093899,-0.164934,0.655066,-74.36998,117.809761,-43.273186,-0.762699,-0.185988,-0.140237,0.603351,-72.459763,95.510849,-38.289623,0.95617,0.184453,0.101779,-0.203364,-12.104815,155.090363,76.29187,0.476298,-0.321838,0.19726,0.794134,-16.631018,124.122849,90.487656,0.584483,-0.279759,0.092806,0.755977,-23.694345,99.434059,93.292213
0.191,0.763264,0.145004,0.574688,-0.257168,-74.488533,151.055878,-48.43816,-0.731023,-0.095115,-0.162572,0.655842,-74.429451,117.766869,-43.265141,-0.762507,-0.184528,-0.139378,0.60424,-72.496544,95.477455,-38.316502,0.956199,0.184875,0.102458,-0.202502,-12.151952,155.102356,76.287949,0.476133,-0.322189,0.197495,0.794033,-16.686934,124.137451,90.500824,0.584194,-0.280392,0.093472,0.755884,-23.771358,99.469498,93.30584
0.2,0.763667,0.144804,0.573994,-0.257633,-74.566528,151.021225,-48.37545,-0.730186,-0.094971,-0.162297,0.656863,-74.490585,117.73381,-43.248356,-0.762126,-0.184213,-0.139497,0.604789,-72.539902,95.439766,-38.341118,0.956188,0.185327,0.103621,-0.201546,-12.206598,155.116455,76.287651,0.474497,-0.323103,0.19818,0.79447,-16.754969,124.161324,90.516815,0.584745,-0.280726,0.093512,0.755329,-23.862097,99.496147,93.319664
0.208,0.763618,0.143826,0.573219,-0.260042,-74.647026,151.00441,-48.293625,-0.730291,-0.093584,-0.162701,0.656845,-74.550926,117.710915,-43.2411,-0.761656,-0.183705,-0.139143,0.605617,-72.576546,95.4011,-38.368969,0.956191,0.185582,0.104305,-0.200945,-12.263387,155.123596,76.276985,0.472918,-0.324234,0.198924,0.794764,-16.822901,124.180672,90.527328,0.58482,-0.281179,0.093827,0.755063,-23.950302,99.517113,93.327293
0.216,0.763524,0.143593,0.573208,-0.260469,-74.728592,150.966827,-48.232426,-0.730673,-0.093049,-0.163153,0.656384,-74.614571,117.675613,-43.231926,-0.761102,-0.183643,-0.13864,0.606447,-72.608414,95.350571,-38.4007,0.9562,0.186033,0.104905,-0.200168,-12.313709,155.133194,76.26709,0.471537,-0.325381,0.199851,0.794883,-16.905857,124.20224,90.534058,0.584269,-0.281598,0.094203,0.755287,-24.038151,99.547943,93.333855
0.225,0.763761,0.143061,0.573042,-0.260434,-74.820534,150.92514,-48.164536,-0.730841,-0.093196,-0.162572,0.65632,-74.677406,117.631058,-43.221577,-0.76079,-0.183624,-0.138207,0.606943,-72.651031,95.300781,-38.428387,0.956122,0.186975,0.105955,-0.199109,-12.378981,155.148849,76.260536,0.471351,-0.326062,0.201118,0.794395,-16.992525,124.228561,90.543571,0.58385,-0.282679,0.094727,0.755141,-24.128572,99.567986,93.349701
0.233,0.763899,0.142441,0.571897,-0.262875,-74.896149,150.898834,-48.081181,-0.730958,-0.093568,-0.161468,0.65641,-74.729225,117.581177,-43.214542,-0.760222,-0.183563,-0.1377,0.607788,-72.68972,95.244919,-38.461597,0.955961,0.187794,0.107266,-0.198408,-12.446746,155.160736,76.253586,0.471521,-0.32677,0.202033,0.79377,-17.08247,124.256012,90.548996,0.583388,-0.283392,0.095494,0.755135,-24.207228,99.587494,93.352531
0.241,0.763673,0.142493,0.571608,-0.264128,-74.967369,150.865097,-48.023849,-0.729943,-0.093411,-0.161539,0.657543,-74.774406,117.5401,-43.209885,-0.759663,-0.183007,-0.136768,0.608864,-72.728783,95.189461,-38.487598,0.955881,0.188692,0.108528,-0.197252,-12.510601,155.179443,76.24826,0.471133,-0.327797,0.203219,0.793275,-17.175119,124.279846,90.551765,0.583356,-0.284052,0.096817,0.754743,-24.283922,99.610291,93.356216
0.25,0.763864,0.140785,0.571358,-0.265031,-75.06646,150.840012,-47.942249,-0.729308,-0.092618,-0.160782,0.658544,-74.826172,117.498253,-43.196991,-0.759264,-0.182608,-0.136502,0.609541,-72.768898,95.135826,-38.517849,0.955855,0.189624,0.10975,-0.195805,-12.596284,155.19342,76.242294,0.472015,-0.32747,0.202724,0.793012,-17.281269,124.316978,90.560623,0.582626,-0.285095,0.098989,0.754632,-24.386293,99.636192,93.364288
0.258,0.763721,0.14062,0.570829,-0.266666,-75.141663,150.794739,-47.875164,-0.728598,-0.092053,-0.160981,0.659361,-74.880394,117.463554,-43.19035,-0.759019,-0.181924,-0.136025,0.610157,-72.802063,95.09227,-38.54361,0.955681,0.190453,0.111206,-0.195025,-12.672822,155.212646,76.223984,0.472487,-0.327693,0.203017,0.792564,-17.377319,124.342117,90.559166,0.581797,-0.28608,0.100378,0.754715,-24.474148,99.675926,93.364357
0.266,0.763299,0.140976,0.570524,-0.268334,-75.207611,150.750504,-47.821472,-0.728299,-0.092415,-0.159574,0.659981,-74.934441,117.418266,-43.175785,-0.758555,-0.181684,-0.135151,0.610999,-72.832253,95.044289,-38.57671,0.955445,0.191681,0.112825,-0.194045,-12.761715,155.227737,76.208206,0.471458,-0.328981,0.203953,0.792403,-17.47097,124.375626,90.555954,0.580653,-0.287538,0.10216,0.754803,-24.564716,99.705681,93.364128
0.275,0.763176,0.140444,0.569843,-0.270401,-75.293404,150.720901,-47.751232,-0.728136,-0.092078,-0.159253,0.660287,-74.99501,117.360031,-43.173496,-0.757945,-0.181554,-0.134656,0.611903,-72.862907,94.992119,-38.616161,0.955144,0.19332,0.114692,-0.192801,-12.866129,155.256516,76.184052,0.471519,-0.329894,0.205625,0.791554,-17.581888,124.406288,90.549461,0.579287,-0.289102,0.103919,0.755015,-24.667654,99.74086,93.357285
0.283,0.762992,0.139835,0.570116,-0.27066,-75.372856,150.674469,-47.692364,-0.727502,-0.091877,-0.158753,0.661133,-75.034256,117.316093,-43.169415,-0.757413,-0.181241,-0.134188,0.612757,-72.886742,94.946297,-38.651127,0.955001,0.194552,0.115983,-0.191494,-12.960567,155.270462,76.159492,0.469745,-0.331734,0.207344,0.791391,-17.680309,124.443077,90.551285,0.580049,-0.289625,0.10452,0.754146,-24.754173,99.763062,93.337692
0.291,0.763156,0.139407,0.569474,-0.271767,-75.442551,150.631058,-47.630383,-0.726985,-0.091731,-0.1582,0.661855,-75.07444,117.268791,-43.168858,-0.756909,-0.181171,-0.133515,0.613547,-72.908356,94.90036,-38.687996,0.955,0.19606,0.118485,-0.188408,-13.049531,155.282974,76.126602,0.468475,-0.333501,0.209988,0.790704,-17.787121,124.476967,90.54509,0.579514,-0.290846,0.10579,0.753911,-24.848255,99.788071,93.327126
0.3,0.763565,0.138072,0.568462,-0.273414,-75.521477,150.601883,-47.556,-0.725989,-0.092016,-0.158254,0.662894,-75.121552,117.216125,-43.171986,-0.756375,-0.181233,-0.132534,0.614398,-72.937958,94.846497,-38.734814,0.954829,0.197876,0.120503,-0.186077,-13.149675,155.297287,76.104057,0.467338,-0.335253,0.212208,0.790044,-17.894812,124.513245,90.540916,0.57864,-0.292444,0.107637,0.753702,-24.955656,99.826828,93.303459
0.308,0.763472,0.1392,0.567916,-0.274237,-75.606224,150.554245,-47.484966,-0.725545,-0.091461,-0.158403,0.663422,-75.166962,117.176308,-43.176792,-0.755594,-0.180939,-0.13236,0.615483,-72.959457,94.800476,-38.775452,0.954402,0.199432,0.122601,-0.185236,-13.256039,155.31839,76.076393,0.468776,-0.335613,0.213442,0.788705,-17.999952,124.534569,90.520561,0.578735,-0.293657,0.109639,0.752868,-25.05579,99.852966,93.280502
0.316,0.763559,0.138832,0.567658,-0.274714,-75.674683,150.498596,-47.430943,-0.725831,-0.091091,-0.157281,0.663426,-75.219894,117.128387,-43.182522,-0.754671,-0.180982,-0.132389,0.616596,-72.976807,94.756042,-38.814915,0.9541,0.200589,0.123899,-0.184682,-13.359836,155.345413,76.057442,0.466841,-0.338093,0.216274,0.788022,-18.098713,124.563431,90.503876,0.578393,-0.29536,0.111783,0.752149,-25.150944,99.887871,93.255371
0.325,0.763891,0.137346,0.567152,-0.275581,-75.746269,150.473587,-47.357998,-0.725559,-0.090407,-0.156375,0.664031,-75.26178,117.078552,-43.18539,-0.753418,-0.181109,-0.132172,0.618135,-72.990814,94.696159,-38.868378,0.953806,0.202171,0.12586,-0.183139,-13.465621,155.372467,76.023392,0.463067,-0.341095,0.219808,0.787977,-18.233387,124.602852,90.507584,0.577903,-0.297571,0.114479,0.751248,-25.268259,99.926331,93.222664
0.333,0.763745,0.137152,0.56694,-0.276516,-75.809181,150.433655,-47.29977,-0.724956,-0.090006,-0.155825,0.664873,-75.293304,117.037163,-43.187378,-0.753468,-0.183,-0.132371,0.617474,-73.000229,94.622917,-38.935436,0.953278,0.204345,0.127194,-0.182557,-13.552785,155.393463,75.995468,0.459518,-0.343713,0.222144,0.788262,-18.365723,124.646423,90.513596,0.57663,-0.299707,0.116651,0.751043,-25.368149,99.96154,93.196388
0.341,0.763819,0.137378,0.566292,-0.277525,-75.872559,150.384979,-47.249294,-0.724516,-0.089811,-0.154992,0.665573,-75.323044,116.99369,-43.188747,-0.753443,-0.183661,-0.131896,0.61741,-73.015442,94.55526,-38.996708,0.952942,0.204932,0.127145,-0.183682,-13.605343,155.431976,75.944946,0.452466,-0.349205,0.227376,0.788435,-18.478172,124.696136,90.509796,0.575028,-0.302092,0.118868,0.750968,-25.474077,99.995766,93.164909
0.35,0.763616,0.136547,0.565385,-0.280331,-75.948921,150.34053,-47.180275,-0.723855,-0.090359,-0.154496,0.666333,-75.353447,116.937065,-43.192909,-0.753181,-0.183962,-0.131409,0.617744,-73.028793,94.494934,-39.051655,0.952444,0.207197,0.127976,-0.183147,-13.715885,155.432343,75.921394,0.443879,-0.355469,0.23317,0.788825,-18.60536,124.752716,90.514549,0.573472,-0.304859,0.122186,0.750508,-25.582876,100.027229,93.123192
0.358,0.76329,0.136668,0.565649,-0.280627,-75.999084,150.300385,-47.134396,-0.723232,-0.090512,-0.153689,0.667175,-75.376991,116.890823,-43.200161,-0.751856,-0.183757,-0.130936,0.619518,-73.026772,94.451927,-39.097477,0.952059,0.208642,0.130264,-0.181887,-13.806862,155.470963,75.879791,0.443827,-0.356918,0.234963,0.787667,-18.701344,124.782982,90.497017,0.568773,-0.309081,0.124817,0.751922,-25.693787,100.084747,93.105156
0.366,0.762986,0.136702,0.565613,-0.281509,-76.049637,150.26236,-47.093655,-0.722197,-0.08999,-0.152969,0.668532,-75.404236,116.847298,-43.204205,-0.750864,-0.182894,-0.130063,0.621158,-73.025948,94.407936,-39.146442,0.951534,0.210383,0.132364,-0.181114,-13.901711,155.49707,75.853149,0.443122,-0.358756,0.237108,0.786586,-18.805555,124.810982,90.479164,0.564427,-0.312892,0.12739,0.753188,-25.803539,100.127724,93.090004
0.375,0.762998,0.135462,0.564862,-0.283576,-76.104805,150.229462,-47.024521,-0.721921,-0.090017,-0.152464,0.668941,-75.44136,116.785728,-43.221359,-0.750414,-0.182404,-0.129637,0.621933,-73.03476,94.35746,-39.19582,0.95131,0.21249,0.134823,-0.177989,-13.994699,155.50708,75.820946,0.4412,-0.361332,0.239854,0.785654,-18.919516,124.84671,90.459549,0.562925,-0.315592,0.129369,0.752849,-25.915426,100.171318,93.058846
0.383,0.763386,0.135237,0.564208,-0.283941,-76.146248,150.181808,-46.97419,-0.721617,-0.089737,-0.15192,0.66943,-75.467972,116.739189,-43.229954,-0.749825,-0.182368,-0.129538,0.622676,-73.040573,94.309128,-39.242573,0.950732,0.214132,0.13716,-0.177321,-14.082667,155.534836,75.793152,0.440863,-0.362747,0.242001,0.784532,-19.014854,124.876808,90.436844,0.560096,-0.318082,0.130724,0.753676,-26.01053,100.21579,93.036385
